id,municipio,apodo,id_municipio_sepomex,id_estado
427,José Joaquín de Herrera,José Joaquín de Herrera,79,12
428,Ahuacuotzingo,Ahuacuotzingo,2,12
429,Zitlala,Zitlala,74,12
430,Mártir de Cuilapan,Mártir de Cuilapan,42,12
431,Huamuxtitlán,Huamuxtitlán,33,12
432,Xochihuehuetlán,Xochihuehuetlán,70,12
433,Alpoyeca,Alpoyeca,5,12
434,Tlapa de Comonfort,Tlapa de Comonfort,66,12
435,Tlalixtaquilla de Maldonado,Tlalixtaquilla de Maldonado,65,12
436,Xalpatláhuac,Xalpatláhuac,69,12
437,Zapotitlán Tablas,Zapotitlán Tablas,72,12
438,Acatepec,Acatepec,76,12
439,Atlixtac,Atlixtac,10,12
440,Copanatoyac,Copanatoyac,20,12
441,Malinaltepec,Malinaltepec,41,12
442,Santa Cruz del Rincón,Santa Cruz del Rincón,84,12
443,Iliatenco,Iliatenco,81,12
444,Tlacoapa,Tlacoapa,63,12
445,Atlamajalcingo del Monte,Atlamajalcingo del Monte,9,12
446,San Luis Acatlán,San Luis Acatlán,52,12
447,Metlatónoc,Metlatónoc,43,12
448,Cochoapa el Grande,Cochoapa el Grande,78,12
449,Alcozauca de Guerrero,Alcozauca de Guerrero,4,12
450,Ometepec,Ometepec,46,12
451,Tlacoachistlahuaca,Tlacoachistlahuaca,62,12
452,Xochistlahuaca,Xochistlahuaca,71,12
453,Florencio Villarreal,Florencio Villarreal,30,12
454,Cuautepec,Cuautepec,25,12
455,Copala,Copala,18,12
456,Azoyú,Azoyú,13,12
457,Juchitán,Juchitán,80,12
458,Marquelia,Marquelia,77,12
459,Cuajinicuilapa,Cuajinicuilapa,23,12
460,San Nicolás,San Nicolás,85,12
461,Igualapa,Igualapa,36,12
462,Pachuca de Soto,Pachuca de Soto,48,13
463,Mineral del Chico,Mineral del Chico,38,13
464,Mineral del Monte,Mineral del Monte,39,13
465,Ajacuba,Ajacuba,5,13
466,San Agustín Tlaxiaca,San Agustín Tlaxiaca,52,13
467,Mineral de la Reforma,Mineral de la Reforma,51,13
468,Zapotlán de Juárez,Zapotlán de Juárez,82,13
469,Jacala de Ledezma,Jacala de Ledezma,31,13
470,Pisaflores,Pisaflores,49,13
471,Pacula,Pacula,47,13
472,La Misión,La Misión,40,13
473,Chapulhuacán,Chapulhuacán,18,13
474,Ixmiquilpan,Ixmiquilpan,30,13
475,Zimapán,Zimapán,84,13
476,Nicolás Flores,Nicolás Flores,43,13
477,Cardonal,Cardonal,15,13
478,Tasquillo,Tasquillo,58,13
479,Alfajayucan,Alfajayucan,6,13
480,Huichapan,Huichapan,29,13
481,Tecozautla,Tecozautla,59,13
482,Nopala de Villagrán,Nopala de Villagrán,44,13
483,Actopan,Actopan,3,13
484,Santiago de Anaya,Santiago de Anaya,55,13
485,San Salvador,San Salvador,54,13
486,Francisco I. Madero,Francisco I. Madero,23,13
487,El Arenal,El Arenal,9,13
488,Mixquiahuala de Juárez,Mixquiahuala de Juárez,41,13
489,Progreso de Obregón,Progreso de Obregón,50,13
490,Chilcuautla,Chilcuautla,19,13
491,Tezontepec de Aldama,Tezontepec de Aldama,67,13
492,Tlahuelilpan,Tlahuelilpan,70,13
493,Tula de Allende,Tula de Allende,76,13
494,Tepeji del Río de Ocampo,Tepeji del Río de Ocampo,63,13
495,Chapantongo,Chapantongo,17,13
496,Tepetitlán,Tepetitlán,64,13
497,Tetepango,Tetepango,65,13
498,Tlaxcoapan,Tlaxcoapan,74,13
499,Atitalaquia,Atitalaquia,10,13
500,Atotonilco de Tula,Atotonilco de Tula,13,13
501,Huejutla de Reyes,Huejutla de Reyes,28,13
502,San Felipe Orizatlán,San Felipe Orizatlán,46,13
503,Jaltocán,Jaltocán,32,13
504,Huautla,Huautla,25,13
505,Atlapexco,Atlapexco,11,13
506,Huazalingo,Huazalingo,26,13
507,Yahualica,Yahualica,80,13
508,Xochiatipan,Xochiatipan,78,13
509,Molango de Escamilla,Molango de Escamilla,42,13
510,Tepehuacán de Guerrero,Tepehuacán de Guerrero,62,13
511,Lolotla,Lolotla,34,13
512,Tlanchinol,Tlanchinol,73,13
513,Tlahuiltepa,Tlahuiltepa,71,13
514,Juárez Hidalgo,Juárez Hidalgo,33,13
515,Zacualtipán de Ángeles,Zacualtipán de Ángeles,81,13
516,Calnali,Calnali,14,13
517,Xochicoatlán,Xochicoatlán,79,13
518,Tianguistengo,Tianguistengo,68,13
519,Atotonilco el Grande,Atotonilco el Grande,12,13
520,Eloxochitlán,Eloxochitlán,20,13
521,Metztitlán,Metztitlán,37,13
522,San Agustín Metzquititlán,San Agustín Metzquititlán,36,13
